책제목,글쓴이,출판사,출판년,대여료
꺼벙이 억수와 방울 소리,윤수천 글  ; 원유미 그림,좋은책어린이,2011,3737
(쉽게 만드는 내 몸에 맞는)천연향수,배혜현 지음,봄풀,2011,1491
분홍리본의 시절 : 권여선 소설집,권여선,창비,2007,7323
교육사회학,김신일 [저],교육과학사,2007,9960
Goldilocks and the three bears,edited by Award Publication,Award,2008,5468
(빌 브라이슨의)대단한 호주 여행기,빌 브라이슨 지음 ; 이미숙 옮김,알에이치코리아,2012,1238
암스트롱이 들려주는 달 이야기,정완상 지음,자음과모음,2005,3026
(통계자료분석을 위한) SAS 활용과 실습,정기문 ; 한성실 ; 김정렬 공저,OK Press,2003,1812
특허권남용의 경쟁법적 규율  : 표준을 중심으로 본 경쟁법과 지적재산권,최승재 저,세창출판사,2010,3843
배려 : 귀찮은 것이 삶이 될 때 우리는 비로소 '왕'이 된다,이의섭 지음,지식공감,2013,2322
풍수. 1 : 산국,김종록 지음,나남출판,2006,5783
봄날은 간다 : 신화 속으로 떠난 이윤기를 그리며,이윤기 외 지음,섬앤섬,2011,9881
추상표현주의 예술가,베틀북 .편집부,베틀북,0,9153
그 남자네 집,박완서 저,세계사,2012,8257
한국 근대사 산책. 7 : 간토대학살에서 광주학생운동까지,강준만 지음,인물과사상사,2008,3604
합리성의 새로운 지평,존 써얼 지음 김기현 외 옮김,철학과 현실사,2001,9348
(굶지 않고 3개월에 16kg 빼는)하루 걸러 다이어트,제임스 B. 존슨 ; 도널드 R. 로브 시니어 지음 ; 박선령 옮김,더블book,2010,9755
하프타임 쇼크,밥 버포드 지음 ; 이창신 옮김,국제제자훈련원,2010,6400
할아버지의 붉은 뺨,"야니쉬, 하인츠",웅진주니어,2006,8387
빨래판도 잘 보면 팔만대장경이다 : 아는 것 같은데 잘 모르고 있는 역사 용어 상식 톺아보기,전병철 지음,살림터,2012,1654
"(고도원의)아침편지. 두번째, 작은 씨앗 하나가 모든 것의 시작이다",고도원 지음,청아출판사,2005,7097
클래식이 필요한 순간들,홍승찬 지음,책읽는수요일,2012,1243
내 잠속에 비내리는데,이외수 [저],해냄,2006,2558
한국의 세계유산 : 1995-2010,문화재청 엮음,눌와,2010,6279
파스칼의 실수,플로랑스 세이보스 글 ; 미셸 게 그림 ; 최윤정 옮김,비룡소,2003,4046
상처 이야기,니시오 이신 저 ; Vofan 일러스트 ; 현정수 옮김,학산문화사,2011,7180
미국의 굴욕 : 우리가 꼭 알아야 할 미국의 5가지 불편한 진실,크리스 헤지스 지음 ; 김한영 옮김,아름드리미디어,2011,2262
종교란 무엇인가 : 신의 실체에서 종교 전쟁까지,오강남 지음,김영사,2012,1058
인의로 천하를 얻다 : 정사로 읽는 인물 삼국지,진수 지음 ; 진화승 편저 ; 이미영 옮김,팩컴북스,2011,6887
Arthur and the big blow-up,"Brown, Marc",Little Brown and company,2009,5813
(자연속으로 떠나는)현장학습 여행,김재일 글 ; 오세호 그림,랜덤하우스중앙,2004,1148
(조선/한국의)내셔널리즘과 소국의식,기무라 간 지음 ; 김세덕 옮김,산처럼,2007,9962
고전의 샘에 마음을 적시다,이정자 지음,국학자료원,2009,7534
산중암자에서 듣다 : 전국 25개 암자에서 듣는 깨달음의 이야기,박원식 글 ; 주민욱 사진,북하우스 퍼블리셔스,2011,7878
아이가 잘 먹는 채소반찬  : 고기보다 맛있다!,채남수 지음,미디어윌,2012,3331
주말여행 컨설팅북,이민학  ; 유은영 [공]지음,랜덤하우스코리아,2012,1546
부활 : 논술대비 세계명작,"톨스토이 지음, 소중애 엮음",지경사,2006,7749
수업을 왜 하지?,서근원 지음,우리교육,2003,2769
행복한 가족요가,김상운 ; 신성구 ; 최윤석 [공]지음,동도원,2005,3735
사랑해요 아빠,이은하 글 ; 유명희 그림,삼성당,2011,8443
구원이란 무엇인가,김세윤,두란노,2001,8037
참여정부 인사개혁의 현황과 과제,김중양 편,나남출판,2005,8169
농구용어사전,"김영수, 이우재, 손대범",KBL,2008,9603
하버드 스타일,강인선 지음,웅진지식하우스,2007,6281
(청소년을 위한)만만한 경제학 : EBS 공부의 왕도 김민준의 재미있는 경제이야기,김민준 지음,지공신공,2011,8016
(PR Korea)우리 문화 중국어로 자랑해봐,범노신 ; 박계연 [공]지음,윈타임즈,2008,5863
성경읽고 위대한 영웅이 되라,전광 지음,두란노,2004,6048
스승님이라 부르리까,이필영 지음,동심원,2009,1895
(영잘원's)왕초보 필수영숙어 사수하기. 1,JD Kim 지음,ETS bank,2009,6437
(고고씽~)독일에 가다!,이희정 글 ; 윤유리 그림,가나,2009,6565
국어국문학사전 상권. 1,이응백 ; 김원향 ; 김선풍 감수,한국사전연구사,2001,6982
"서울, 건축의 도시를 걷다. 2, 강남 일대와 부도심",임석재 지음,인물과사상사,2010,9895
종이로 사라지는 숲 이야기,맨디 하기스 지음 ; 이경아 옮김,상상의숲,2009,1022
마을숲과 참살이,김종원 ; 강판권 외 공저,계명대학교,2007,8456
(점수를 확 올려주는)JPT 800 단번에 공략하기,서경원 저,시사일본어사,2009,3346
월요일에 모든 것이 달라졌다,크리스티네 뇌스틀링거 글.그림 ; 유혜자 옮김,개암나무,2011,6320
꿈·희망·미래,스티브 김 지음,21세기북스,2009,4729
전파가 퐁당퐁당,[한국방송통신전파진흥원 편],한국방송통신전파진흥원,2010,1546
(꼭 읽어야 할)한국 명수필 111선,피천득...[등]저,타임기획,2004,1354
"상상력의 창고, 디즈니 : 월트 디즈니",김용규 지음 ; 유승렬 그림,아테나,2012,4556
슬로 라이프,쓰지 신이치 지음 ; 김향 옮김,디자인하우스,2005,5091
(체험하고 즐기며 원리를 깨우치는) 과학박물관,국립과천과학관  ; 권은아 [공]지음  ; 국립과천과학관 사진  ; 김은희 그림,행성비,2011,1704
일본 장례문화,"송천호, 장만석 공저",명지대학교 출판부,2005,8204
어떻게 그릴까?,안 포르슬린드 글.그림 ; 이승윤 옮김,비룡소,2004,8973
신은 위대하지 않다,크리스토퍼 히친스 지음 ; 김승욱 옮김,알마,2012,6018
(초등학생을 위한)한시 교과서,백태명 지음,넥서스아카데미,2005,8794
명창  : 김일연 시집,김일연,책만드는집,2008,3785
사진노출,윤경미 ; 웰기획 [공]지음,사이버출판사,2009,4097
숯 달고 고추 달고,이춘희 글 ; 이태호 그림,사파리,2011,3000
(모질게 토익)듣기만 해도 느는 토익,홍원표 지음,21세기북스,2010,1275
국보와 보물 이야기,신현배 지음 ; 양동석 그림,현문미디어,2009,1878
첫 문장의 두려움을 없애라,김민영 지음,청림,2011,3646
한국인에게 일본이란 무엇인가 : 일본이라는 거울을 통해 본 우리들의 초상,박상현  저,박문사,2010,9982
우리는 집 지킴이야!,최미란 글·그림,사계절,2011,3365
나만의 미드 & 스크린  : 영문법 트레이닝,이충훈 지음,투리북스,2011,4183
우리말 소반다듬이,권오운 지음,문학수첩,2011,8443
부루퉁한 스핑키,윌리엄 스타이그 글.그림 ; 조은수 옮김,비룡소,2009,2329
초등학생이 꼭 읽어야 할 9가지 중국 교과서 동화,최송림 역  ; 남정임 옮김,학은미디어,2012,8549
"개미  : 베르나르 베르베르 장편소설. 5, 제3부 개미혁명",베르나르 베르베르 지음  ; 이세욱 옮김,열린책들,2008,6255
제국의 꿈 : 강동호 퓨전 판타지 장편소설. 2,강동호 지음,로크미디어,2010,4542
속독속해. Ⅱ,신동운 ; 신남선 [공]지음,스타북스,2009,5479
한국복식문화2000년,전통을이어가는사람들1,정규오,2001,3813
"냠냠, 맛있게 먹어요",기요노 사치코 글·그림 ; 고향옥 옮김,비룡소,2011,4717
원숭이도 이해하는 자본론,임승수 지음,시대의창,2008,1281
석세스 힐 : 여자의 성공을 부르는 100일간의 특별한 주문,"리즈 코니시 지음, 신선해 옮김",넥서스Biz,2008,3862
혼불 : 대하소설. 2부 3 : 평토제,최명희 지음,매안,2011,8689
네 인생인데 한 번뿐인데 이대로 괜찮아?,크리스 길리보 지음  ; 주민아 옮김,21세기북스,2011,9441
(강대인의)유기농 벼농사,강대인 지음,들녘,2005,3746
"물이, 길 떠나는 아이",임정자 글 ; 지혜라 그림,문학동네어린이,2005,6840
감자 : 김동인 단편선,김동인 지음 ; 정호웅 엮음,현대문학,2011,8214
(과학과 기술로 본) 세계사 강의,제임스 E. 매클렐란 3세 ; 해럴드 도른 공저 ; 전대호 옮김,모티브북,2006,2339
모든 개는 다르다 : 시간 속에 숨은 51가지 개 이야기,김소희 지음,페티앙북스,2010,6767
난 멋진 형아가 될 거야 : 이미애 창작동화,이미애,푸른책들,2012,5223
넉점반 [베트남어 공동표기],이영경,창비,2007,8519
조명암 시전집,조명암 지음 ; 이동순 엮음,선,2003,8665
삼진아웃,"이중현 글, 전병준 그림",문학동네,2007,6068
죽은 경제학자의 살아있는 아이디어,토드 부크홀츠 지음 ; 이승환 옮김,김영사,2005,2925
발효응용공학,고종호 [등]공저,보문각,2011,4572
강산이는 힘이 세다,김종일 동화  ; 배은경 그림,강같은평화,2011,2875
부자가 된 삼형제,이현주 글  ; 이수아 그림,비룡소,2011,5212
손정의 미래를 말하다 : 소프트뱅크 신 30년 비전,소프트뱅크 신 30년 비전 제작위원회 지음,소프트뱅크커머스,2011,4027
황금비늘. 1,이외수 지음,해냄출판사,2005,9314
전나무와 매  : 전민희 장편소설,전민희 지음,제우미디어,2011,4836
"장군과 제왕. 2, 중원의 고구려, 제왕 이정기",이덕일 지음,웅진씽크빅,2005,7733
물방울,메도루마 슌,문학동네,2012,5115
수학 문명을 지배하다,모리스 클라인 지음 ; 박영훈 옮김,경문사,2005,2157
책 읽기 좋아하는 할머니,존 윈치 글.그림 ; 조은수 옮김,파랑새어린이,2006,2481
램브란트,더글라스 매너링저 ; 심은신 역,한국프뢰벨주식회사,1998,2406
괴물의 탄생,우석훈 지음,개마고원,2009,7907
세상을 바꾸는 천 개의 직업,박원순 지음,문학동네,2012,5300
"민주주의를 만든 생각들. [2], 근현대 편",구민정  ; 권재원 [공]엮음,휴머니스트,2011,3269
담헌 홍대용  : 1731~1783,천안박물관 [편],천안박물관,2012,9938
(백제의 마지막 혼)계백  : 이수광 역사소설,이수광 지음,미루북스,2011,8084
중국의 부상  : 동아시아 및 한중관계의 함의,"전성흥, 이종화 편",오름,2008,6922
지도에 없는 섬 하나를 안다,임영조,민음사,2001,4949
"녹색 핸드백, 스기하라 사야카. 15세 가을",아카가와 지로 지음 ; 한성례 옮김,씨엘북스,2012,1038
"그래, 중국으로 떠나자 : 나 홀로 떠난 24,000km 93일간의 중국 여행기",황성룡 지음,행복에너지,2013,1315
내 안의 풍경 : 청호스님 에세이,청호스님 지음,청어,2008,8896
(파브르가 들려주는)자원 곤충이야기,한영식 지음,자음과모음,2012,8392
"(전국 시장,군수,구청장이 추천하는)우리고장 문화유산. 1","전국 시장,군수,구청장협의회 편",개마서원,1998,1161
춘추좌전. 3,좌구명 지음 ; 신동준 옮김,한길사,2006,5541
밤의 노예,미셸 오스트 지음 ; 이재형 옮김,문예출판사,2004,7812
걷는 것이 쉬는 것이다,김산환 글.사진,실천문학사,2009,9850
장화가 사라졌어요,"예센, 이다",현북스,2012,5078
헤밍웨이와 파리의 아내,폴라 매클레인 지음 ; 이은선 옮김,21세기북스,2012,6433
(IBM)한국보고서,IBM 지음,한국경제신문,2007,1605
(검피 아저씨의)뱃놀이,존 버닝햄 글.그림 ; 이주령 옮김,시공주니어,2008,9892
국제관계와 현대사회 그리고 시민교육,허영식 저,원미사,2007,4223
연의 바다. 1,이리리 지음,신영미디어,2007,5638
포스트 민주주의,콜린 크라우치 지음 ; 이한 옮김,미지북스,2008,5963
여섯 사람,데이비드 매키 글.그림 ; 김중철 옮김,비룡소,2010,2095
카셀이 들려주는 환율 이야기,승지홍 저,자음과모음,2012,8401
증도가 언기주 : 깨달음의 노래,제월통광 현토역주,불광,2007,5499
대한민국 럭셔리 여행지 50 : 해외여행 부럽지 않은 우리나라 명품여행,유철상 지음,랜덤하우스코리아,2010,3280
조선조 유학자의 중용읽기,"서경요, 김유곤 지음",문사철,2009,3339
Haunted Castle on Hallows Eve .30,"Osborne, by Mary Pope",Random House,2013,4070
변화·공감·소통,김현경 ; 박성연 ; 이건욱 [공]지음,국립민속박물관,2009,7004
(JAVA 프로그래머를 위한)알고리즘과 자료구조,Yoshiyuki Kondou 저 ; 임병균 역,영진닷컴,2005,4121
땅 위를 보는 풍수vs. 땅속을 보는 풍수,김경순 지음,대도대한,2001,7342
햇빛 잘잘 끓는날 : 신현배 동시집,"신현배 지음 ; 김세영, 박희진 [공]그림",가꿈,2011,6525
배를 타고 야호!,피터 시스 그림,시공주니어,2011,5429
공기는 어디에나 있어,프랭클린 M.브랜리 글  ; 할리 켈러 그림  ; 햇살과 나뭇꾼 옮김,웅진,2005,4754
(Margret & H.A. Rey's)Curious George's Dream,"Rey, H.A",HMCo,2010,5973
진심 어린 거짓말,케르스틴 기어 지음 ; 전은경 옮김,퍼플북스,2010,4531
"선생님, 괜찮으세요?",필립 던 지음 ; 김경숙 옮김,사이,2011,8641
현대패션과 서양복식 문화사,배수정 외,수학사,2008,1813
"구당 김남수, 침뜸과의 대화",이상호 지음,동아시아,2009,6692
사할린은 눈물도 믿지 않는다 1,신중신 지음,청동거울,2001,3709
가정상담학의 이해,류종훈 저,청목출판사,2001,9771
역사를 쓰다 : 이이화 자서전,이이화 지음,한겨레출판,2011,9833
쉿! 바다의 비밀을 말해 줄게,권수진 ; 김성화 [공]글 ; 김유대 그림,토토북,2008,5500
아메리칸,"제임스, 헨리",민음사,2005,9424
심장 뛰는 소리를 들어 봐,폴 샤워스글  ; 할리 켈러 그림  ; 햇살과 나뭇꾼 옮김,웅진,2005,2463
(우파 루파의)지구별 살리기 프로젝트,강주희 글  ; 김영아 그림,살림,2012,5025
"(서유기의)삼장법사, 실크로드에서 진리를 찾다",프리실라 갤러웨이  ; 돈 헌터 [공]지음  ; 양녕자 옮김,아카넷주니어,2012,1377
이승휴의 삶과 정치활동,장을병 지음,경인문화사,2008,7007
사명대사  : 일본탐정기  : 박덕규 역사소설,박덕규,랜덤하우스코리아,2010,8990
예루살렘 : 공살루 M. 타바리스 장편소설,공살루 M. 타바리스 지음 ; 엄지영 옮김,열린책들,2011,5035
유비쿼터스 사회를 향한 기술과 서비스,이기혁 ; 류영달 ; 김진영 [공]저,진한M＆B,2005,4498
폭풍의 언덕,"브론테, 에밀리",하서출판사,2010,1722
우남 이승만 연구,정병준 지음,역사비평사,2005,2085
울고 싶어도 내 인생이니까,백정미 지음,함께북스,2011,4957
도둑괭이 공주 : 황인숙 장편소설,황인숙 지음,문학동네,2011,2727
우리 동네 최강 짝꿍,루이스 B. 몽고메리 글 ; 에이미 워머 그림 ; 강성순 옮김,주니어김영사,2011,8229
봄바람,박상률,사계절,2005,3897
고려사 이야기 : 명종부터 공양왕까지. 3,"박영규 글, 최상규 그림",주니어김영사,2006,1758
미망. 2,박완서 저,세계사,2012,4477
초등 고전 읽기 혁명 : 내 아이가 고전에 빠져든다! 성장한다!,송재환 지음,글담출판사,2011,2003
교육은 사회학적 이해,김천기,학지사,2001,1110
상식지존 뇌를 깨워라,송정림 글 ; 장영우 그림,글로세움,2006,8038
콩숙이와 팥숙이,이영경 글·그림,비룡소,2011,3513
전환의 시대를 넘어  : 이승윤 회고록,이승윤,투데이미디어 출판부,2011,4865
"그들은 아는, 우리만 모르는",김용진 지음,개마고원,2012,2705
시적 진실의 인식과 미적 체험 : 김종윤 평론집,김종윤 지음,황금알,2010,4810
배려의 교육,김수동 지음,장서원,2005,9446
한국의 아파트 연구,발레리 줄레조 지음 ; 길혜연 옮김,아연출판부,2004,4705
(장편소설)신사의 품격. 2,김은숙 극본 ; 박민숙 소설,아우름,2012,8655
변하고 있는 미국 교육,저자: 박세훈,원미사,2008,2221
(쉽게 만드는 내 몸에 맞는)천연향수,배혜현 지음,봄풀,2011,1491
(돈되는)부동산 경매로 싸게 사들이기,박용석 지음,시대의창,2003,3900
그대 아직도 꿈꾸고 있는가,박완서 저,세계사,2012,1472
(사람의 아들)붓다. 2,"디팩 초프라 지음, 진우기 옮김",푸르메,2007,2705
꿈의 교실,고봉익 지음,해와비,2012,4118
화가 날 때도 있는 거야,"크로일, 홀데",풀빛,2012,2532
녹색평론선집. 3,김종철 엮음,녹색평론사,2008,3152
좋은 아빠 되기 프로젝트,김성묵 지음,두란노서원,2008,7474
9월에 읽는 이야기,이규희  ; 김경화  ; 최향숙 [공]글  ; 최정인 [외]그림,기탄교육,2012,7481
마네,나다니엘 해리스저 ; 정연심 역,한국프뢰벨주식회사,1998,9138
청화 큰스님. 2,남지심 지음,랜덤하우스중앙,2005,2039
알키비아데스 Ⅰ.Ⅱ,플라톤 지음 ; 김주일 ; 정준영 [공]옮김,이제이북스,2007,2694
"뭐라, 내한테서 찔레꽃 냄새가 난다꼬 : 이지누가 만난 이 땅의 토박이, 성주 문상의 옹",이지누 글.사진,호미,2008,1320
고요한 집. 2,오르한 파묵 저  ; 이난아 역,민음사,2011,8640
생활지도,김영광 [저],교육대학원,2006,5301
낯선 땅에 홀리다,김연수 외 지음,마음의숲,2011,6118
"국민연금, 공공의 적인가 사회연대 임금인가",오건호 지음,책세상,2007,1765
이슬이의 첫 심부름,쓰쓰이 요리코 글 ; 하야시 아키코 그림 ; 이영준 옮김,한림출판사,2010,8430
벌거벗은 이력서,감현주 ; 이재은 [공]지음,휘즈프레스,2007,6260
가면의 꿈,이청준 지음,열림원,2002,1709
리타 헤이워드와 쇼생크 탈출 : 스티븐 킹의 사계 봄·여름,스티븐 킹 지음 ; 이경덕 옮김,황금가지,2010,3936
교사는 어떻게 성장하는가 : 두 교사의 교실 기록으로 들여다본 초등학교,박남기 ; 박점숙 ; 문지현 [공]지음,우리교육,2008,9322
공주를 구한 삼형제,안수연 새로엮음 ; 구반장 그림,교원,2011,4733
죽음학 : 죽음에서 삶을 만나다,임기운 외저 ; 전병술 옮김,모시는 사람들,2012,5469
도쿠가와가 사랑한 책,고운기 지음,현암사,2009,6181
달빛 아래 연경에서 노닐며,홍석모 저  ; 이관성 역,문진,2010,9936
(스벤 헤딘 자서전)마지막 탐험가,스벤 헤딘 지음 ; 윤준 ; 이현숙 옮김,뜰,2010,1585
보석 사랑을 훔치다 : 보석은 인간이 만들어 낸 가장 아름다운 예술품이자 영원히 빛나는 권력이다,쉬레이 엮음 ; 이정은 옮김,시그마북스,2011,4841
파도야 놀자,이수지 지음,비룡소,2009,4575
(내 가족을 지키는)방사능 상식사전,하미나 [등]지음,21세기북스,2011,8680
아인슈타인의 최대 실수,도널드 골드스미스 ; 박범수 옮김,동문선,2003,5614
파한집,이인로 지음 ; 구인환 엮음,신원문화사,2004,9856
스포츠 인문학  : 새로운 도전과 길 찾기,체육사상연구회,레인보우북스,2008,6143
(역사를 이끈)아름다운 여인들,김정미 지음,눈과마음,2005,4430
허클베리 핀의 모험,"트웨인, 마크",삼성,2012,3419
민주화 이후의 민주주의,최장집 지음,후마니타스,2005,1007
시각예술과 언어철학,신방흔,생각의 나무,2001,6508
미래는 너희들 세상이란다,서찬석 ; 이은정 [공]글 ; 한희란 그림,모두북스,2005,4504
고통받는 사람들을 위한 명상집,패트리아 넬슨 지음 ; 장이정 옮김,책나라,1995,7918
중국 화상석과 고분벽화 연구,전호태 지음,솔출판사,2007,5749
돈이 머니? 화폐 이야기 : 경제에 눈뜨는 첫 물음,파스칼 에스텔롱 글·그림 ; 허보미 옮김,톡,2011,4210
"카페를 100년간 이어가기 위해 : 카페 바흐, 타구치 마모루의 경영 노트!",타구치 마모루 지음 ; 윤선해 옮김,황소자리 출판사,2012,2016
"먹고,먹히고",패트리샤 G.로버 글  ; 할리 켈러 그림  ; 햇살과 나뭇꾼 옮김,웅진,2005,6294
호머 이야기 : 논술대비 세계명작,"호머 원작, 신동일 엮음, 유도영 그림",지경사,2006,7408
"(퇴근 후 30분)영어 비밀 과외. [3], 스피킹 영문법 편",샤이니 지음,로그인,2012,8580
(우리말)팔만대장경 : 신편,대한불교청년회 편,모시는사람들,2011,6474
장애란 뭘까?,"레스니데르, 엘렌 드",톡,2012,4330
밥상 위의 안부,이중기,창작과비평사,2001,2216
(하룻밤에 읽는)신약성서,이쿠다 사토시 지음 ; 오근영 옮김,랜덤하우스,2010,6599
"로마, 천년의 지식사전",고바야시 고즈에 지음 ; 송수영 옮김,밀리언하우스,2006,4812
오륙도의 식물,강완수 ; 남정칠 [공저],세종출판사,2002,5477
캣츠,T.S. 엘리엇 [지음] ; 김승희 옮김 ; 에드워드 고리 그림,문학세계사,2008,8034
바람 없는 천지에 꽃이 피겠나 : 김재규 평전,문영심 지음,참언론 시사in북,2013,9547
백범일지  : 백범 김구 자서전,김구 저  ; 도진순 주해,돌베개,2005,7537
(속)항설백물어 : 교고쿠 나쓰히코 소설,교고쿠 나쓰히코,비채,2011,2895
귀를 기울이면  : 조남주 장편소설,조남주 저,문학동네,2011,9874
(김창환 교수의)DMZ 지리 이야기,김창환 지음,살림터,2011,9325
세 발 달린 황소,정수민,삼성,2012,4976
포엠툰  : 우리가 다시 사랑할 수 있을까?,정헌재 글·그림,대교,2012,6728
워킹걸의 함정  : 2030 여성을 위한 워크 라이프 밸런스,"우에다 히사노 지음 , 민혜홍 옮김",토파즈,2009,5397
구럼비의 노래를 들어라,이주빈 지음,오마이북,2011,2624
초인의 전설. 2,이원호 지음,은행나무,2005,2436
"그게 바로, 너야!",라스칼 지음 ; 만다나 사다트 그림 ; 여은경 옮김,여우고개,2011,7807
(만화)한국사 바로 보기. 4 : 남북극 시대,김미영 글 ; 이현세 만화,녹색지팡이＆프레스,2007,3463
젊은 히포크라테스를 위하여 : 정준기 산문집,정준기 지음,서울대학교 출판문화원,2011,3925
자투리 천 손바느질,사카이 기요미 지음  ; 이재화 옮김,나무수,2011,7445
(21세기 문화 콘텐츠를 위한)영미시와 철학문화,이규명 지음,동인,2011,1936
지도자 평생 개발론,"로버트 클린턴 지음 ; 장남혁, 황의정 [공]옮김",하늘기획,2011,3856
백기사 신드롬,메리 라미아 ; 매릴린 크리거 [공]지음 ; 이창신 옮김,미래인,2009,8652
슬픈 종소리,송언,사계절,2004,3576
(생명의 암호를 풀다)유전자,"아셍, 네이선 지음 ; 이한음 옮김",지호,2002,3996
무지개 물고기와 흰수염고래,"피스터, 마르쿠스",시공주니어,2008,9018
(2011-2012)CAMU modus,명지대학교 건축대학 건축학부 지음,시공문화사,2012,6806
두 개의 심장 : 류다현 장편소설,류다현 지음,파란미디어,2012,4636
제비꽃 여인숙,이정록,민음사,2002,2777
"의자왕을 고백하다  : 의자왕과 계백, 진실은 무엇인가?",이희진 지음,가람기획,2011,8101
(소설)서동요. 1,김영현 극본 ; 정재인 소설,지식공작소,2005,2838
건국의 정치,김영수 지음,이학사,2006,4360
